100,1556000
99,1521000
98,1486000
97,1451000
96,1416000
95,1381000
94,1346000
93,1311000
92,1276000
91,1241000
90,1206000
89,1171000
88,1141000
87,1111000
86,1081000
85,1051000
84,1021000
83,991000
82,961000
81,931000
80,901000
79,871000
78,847000
77,823000
76,799000
75,775000
74,751000
73,727000
72,703000
71,679000
70,655000
69,631000
68,607000
67,583000
66,559000
65,535000
64,511000
63,487000
62,463000
61,439000
60,415000
59,391000
58,370000
57,349000
56,328000
55,307000
54,286000
53,265000
52,244000
51,223000
50,202000
49,177300
48,174300
47,171300
46,168300
45,165300
44,162300
43,159300
42,156200
41,153000
40,149700
39,146300
38,142800
37,139200
36,135500
35,131700
34,127800
33,123800
32,119700
31,115500
30,111200
29,106800
28,102300
27,97700
26,93000
25,88200
24,83300
23,78300
22,72300
21,66300
20,60300
19,54300
18,47300
17,40300
16,33300
15,27300
14,22300
13,18300
12,15300
11,10000
10,8000
9,3500
8,2900
7,2400
6,2000
5,1300
4,800
3,400
2,150
1,50
